index,date,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,v1,v2
17610,2016-05-13 00:00:00,0.0,25.29,48.59,23.67142857,49.36857143,26.5,44.59,25.272,45.79,24.1,51.06,14.22666667,,24.89,,,51.07875,24.15714286,47.7,14.1,745.5,91.0,1.0,22.0,12.6,8.987029479,8.987029479
17611,2016-05-13 00:10:00,0.0,25.29,48.59,23.6,49.4,26.6,44.59,25.22571429,45.79,24.1,51.0,14.36,52.33333333,24.89,43.09,26.67142857,51.06428571,24.14,47.7,14.26666667,745.5666667,91.5,1.333333333,25.83333333,12.86666667,21.03816723,21.03816723
17612,2016-05-13 00:20:00,0.0,25.29,48.53,23.6,49.48571429,26.53333333,44.59,25.29,45.79,24.1,51.0,14.56333333,53.73333333,24.89,43.09,26.6,51.053999999999995,24.17142857,47.7,,,,,,,32.20559459,32.20559459
17613,2016-05-13 00:30:00,0.0,,,,,,,,,,,,,,,,,,,14.6,745.7,92.5,2.0,33.5,13.4,3.169343853,3.169343853
17614,2016-05-13 00:40:00,0.0,,48.5,23.5,49.72571429,26.6,,25.2,45.9,24.1,50.96666667,14.89,54.7,24.89,43.09,26.52,50.9,24.2,47.75142857,14.76666667,,93.0,2.333333333,37.33333333,13.66666667,24.57598196,24.57598196
17615,2016-05-13 00:50:00,0.0,25.2,48.5,23.5,49.833999999999996,26.5,44.53,25.2,45.9,24.1,50.96666667,14.89,54.7,24.89,43.09,26.52857143,50.9,24.2,47.79,14.93333333,745.8333332999999,93.5,2.666666667,41.16666667,13.93333333,44.79900002,44.79900002
17616,2016-05-13 01:00:00,0.0,25.2,48.5,23.40571429,49.80571429,26.56666667,44.53,25.2,45.9,24.1,50.96666667,14.89,54.82666667,24.89,43.09,26.5,50.86333333,24.2,47.79,15.1,745.9,94.0,3.0,45.0,14.2,29.44016997,29.44016997
17617,2016-05-13 01:10:00,0.0,25.2,48.46666667,23.39,49.79,26.6,44.5,25.2,45.856,24.1,50.9,14.89,54.96666667,24.89,,,50.775,24.2,47.79,15.16666667,745.9166667000001,93.16666667,3.0,40.83333333,14.1,20.84394804,20.84394804
17618,2016-05-13 01:20:00,0.0,25.2,48.46666667,23.39,49.79,26.6,44.5,25.2,,24.1,50.9,14.86,55.03,24.89,43.06,26.5,50.718,24.2,47.82142857,15.23333333,,92.33333333,3.0,36.66666667,14.0,8.907451411,8.907451411
17619,2016-05-13 01:30:00,0.0,25.2,48.4,23.29,49.79,26.56666667,44.5,25.2,45.772,24.1,50.9,14.72666667,55.09,24.89,43.0,26.445,50.79,24.236,47.896,15.3,745.95,91.5,3.0,32.5,13.9,28.84255741,28.84255741
17620,2016-05-13 01:40:00,0.0,,48.4,23.29,49.79,26.56666667,44.5,25.2,45.7,24.1,50.9,14.56666667,55.06333333,24.89,43.0,,50.95428571,24.2,47.9,15.36666667,745.9666667,90.66666667,3.0,28.33333333,13.8,19.82374114,19.82374114
17621,2016-05-13 01:50:00,0.0,25.1,48.4,23.29,49.833999999999996,26.6,44.5,25.2,45.7,24.1,50.82666667,14.36666667,54.45666667,24.89,42.93333333,26.434,51.09,24.2675,48.0675,15.43333333,745.9833332999999,,3.0,24.16666667,13.7,36.686637299999994,36.686637299999994
17622,2016-05-13 02:00:00,0.0,25.1,48.32666667,23.29,49.79,26.6,44.43333333,25.12857143,45.62142857,24.1,50.79,14.0,53.59333333,24.89,42.9,26.39,51.09,24.254,48.09,15.5,746.0,89.0,3.0,20.0,,43.58866711,43.58866711
17623,2016-05-13 02:10:00,0.0,25.1,48.29,,49.79,26.6,44.4,25.1,45.5,24.1,50.79,13.5975,53.2,24.89,,26.39,51.09,24.25142857,48.20428571,15.21666667,745.9666667,,2.833333333,27.5,13.45,9.773440205,9.773440205
17624,2016-05-13 02:20:00,0.0,25.1,48.29,23.21285714,,26.6,44.4,25.1,45.44285714,24.03333333,50.65666667,13.46333333,54.2,24.89,,26.39,51.09,24.254,48.276,14.93333333,745.9333333,90.33333333,2.666666667,,13.3,10.22331514,10.22331514
17625,2016-05-13 02:30:00,0.0,,,,,,,,,,,,,,,,,,,14.65,745.9,91.0,2.5,42.5,13.15,19.32385488,19.32385488
17626,2016-05-13 02:40:00,0.0,25.1,48.16333333,23.2,49.7,26.6,44.29,25.1,45.4,24.1,50.7,13.16666667,54.36,24.89,42.7,26.29,50.816,24.29,48.5,14.36666667,745.8666667,91.66666667,2.333333333,50.0,13.0,42.57530866,42.57530866
17627,2016-05-13 02:50:00,0.0,25.1,48.09,,49.7,26.6,44.26,25.1,45.356,24.1,50.7,12.93333333,54.16333333,24.89,42.7,26.29,50.7,24.29,48.61428571,14.08333333,745.8333332999999,92.33333333,2.166666667,57.5,12.85,34.42619647,34.42619647
17628,2016-05-13 03:00:00,0.0,,48.09,,49.7,26.6,44.2,25.1,45.23857143,24.1,50.62666667,12.72666667,54.22333333,24.89,42.59,26.29,50.59,24.29,48.7,13.8,745.8,93.0,2.0,65.0,12.7,30.21701258,30.21701258
17629,2016-05-13 03:10:00,0.0,25.03333333,48.09,23.1,49.68428571,26.6,44.16333333,25.1,45.2,24.1,50.59,,54.33,24.89,42.59,26.29,50.575,24.29,48.7,13.63333333,745.7833333,93.66666667,1.8333333330000001,60.0,12.63333333,21.1024178,21.1024178
17630,2016-05-13 03:20:00,0.0,,48.0,23.06,49.553999999999995,26.675,44.09,25.1,45.12142857,24.1,50.53,12.46,54.33,24.89,42.5,26.272,50.418,24.29,48.7,13.46666667,745.7666667000001,94.33333333,1.6666666669999999,55.0,12.56666667,43.79770597,43.79770597
17631,2016-05-13 03:30:00,0.0,,,,,,,,,,,,,,,,,,,13.3,745.75,95.0,1.5,50.0,12.5,28.72784551,28.72784551
17632,2016-05-13 03:40:00,0.0,,,,,,,,,,,,,,,,,,,13.13333333,,95.66666667,1.333333333,45.0,12.43333333,47.00469336,47.00469336
17633,2016-05-13 03:50:00,0.0,25.0,47.9,22.98428571,49.41428571,26.6,44.0,25.1,44.856,24.03333333,50.43333333,12.06666667,54.73,24.79,42.16333333,26.2,49.958,24.29,48.79,12.96666667,745.7166667,96.33333333,1.166666667,40.0,12.36666667,13.13592587,13.13592587
17634,2016-05-13 04:00:00,0.0,25.0,47.86333333,22.89,49.4,,44.0,25.1,44.73857143,24.03333333,50.43333333,11.92666667,54.59666667,24.79,42.09,26.2,49.79,24.29,48.79,12.8,745.7,97.0,,35.0,12.3,24.50955467,24.50955467
